l_orderkey,l_partkey,l_suppkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_tax,l_returnflag,l_linestatus,l_shipdate,l_commitdate,l_receiptdate,l_shipinstruct,l_shipmode,l_comment
1761,4891,146,3,37,66447.93,0.06,0.04,R,F,1994-01-02,1994-03-12,1994-01-25,DELIVER IN PERSON        ,TRUCK     ,regular packages wake after
1761,7251,23,4,49,56754.25,0.06,0.07,R,F,1994-01-08,1994-03-03,1994-02-05,TAKE BACK RETURN         ,FOB       ,y even packages promise
1761,15688,954,5,37,59336.16,0.03,0.04,R,F,1994-04-24,1994-03-14,1994-04-29,TAKE BACK RETURN         ,MAIL      ,express requests print blithely around the
1761,2342,99,6,12,14932.08,0.01,0.05,A,F,1994-04-16,1994-03-08,1994-04-21,DELIVER IN PERSON        ,AIR       , sleep furiously. deposits are acco
1761,82,583,7,13,12767.04,0.03,0.08,R,F,1994-03-06,1994-03-18,1994-03-22,DELIVER IN PERSON        ,TRUCK     ,ons boost fu
1762,2525,30,1,15,21412.80,0.04,0.08,A,F,1994-12-18,1994-10-29,1995-01-17,TAKE BACK RETURN         ,REG AIR   ,old packages thrash. care
1762,4951,460,2,39,72382.05,0.10,0.02,A,F,1994-09-12,1994-11-09,1994-10-08,DELIVER IN PERSON        ,MAIL      , ironic platelets sleep along t
1762,3187,441,3,7,7631.26,0.05,0.01,R,F,1994-09-03,1994-10-02,1994-09-10,NONE                     ,REG AIR   ,uickly express packages wake slyly-- regul
1762,14414,679,4,24,31881.84,0.03,0.03,A,F,1994-11-30,1994-11-02,1994-12-20,NONE                     ,REG AIR   ,accounts solve alongside of the fluffily 
1762,741,742,5,49,80445.26,0.08,0.05,A,F,1994-10-20,1994-11-02,1994-11-10,TAKE BACK RETURN         ,SHIP      , packages sleep fluffily pen
1762,9343,862,6,35,43831.90,0.05,0.05,A,F,1994-11-25,1994-10-21,1994-11-28,COLLECT COD              ,AIR       ,ind quickly. accounts ca
1762,7298,556,7,47,56648.63,0.03,0.01,A,F,1994-11-02,1994-10-07,1994-11-08,NONE                     ,SHIP      , blithely brave
1763,1174,677,1,22,23653.74,0.09,0.06,N,O,1997-01-17,1997-01-15,1997-02-03,TAKE BACK RETURN         ,SHIP      ,ld. fluffily final ideas boos
1763,15650,916,2,43,67322.95,0.04,0.04,N,O,1996-11-04,1996-12-09,1996-11-28,DELIVER IN PERSON        ,FOB       ,"r deposits integrate blithely pending, quic"
1763,2414,667,3,16,21062.56,0.06,0.02,N,O,1996-12-12,1996-12-04,1996-12-25,DELIVER IN PERSON        ,RAIL      ,ously pending asymptotes a
1763,6019,788,4,44,40700.44,0.04,0.05,N,O,1996-12-04,1997-01-06,1996-12-25,DELIVER IN PERSON        ,REG AIR   , instructions need to integrate deposits. 
1763,14656,921,5,13,20418.45,0.03,0.05,N,O,1996-11-23,1997-01-24,1996-12-05,TAKE BACK RETURN         ,SHIP      ,s sleep carefully. fluffily unusua
1763,14205,206,6,3,3357.60,0.05,0.03,N,O,1996-12-10,1996-12-06,1997-01-04,TAKE BACK RETURN         ,FOB       ,ut the slyly pending deposi
1763,18394,199,7,2,2624.78,0.05,0.07,N,O,1997-02-27,1996-12-04,1997-03-27,COLLECT COD              ,FOB       ,even pinto beans snooze fluffi
1764,12030,31,1,20,18840.60,0.09,0.02,A,F,1992-06-09,1992-05-22,1992-07-06,COLLECT COD              ,MAIL      ,y quickly regular packages. car
1764,6647,160,2,3,4660.92,0.07,0.07,R,F,1992-05-13,1992-06-07,1992-05-26,COLLECT COD              ,RAIL      ,es wake slowly. 
1764,7718,490,3,27,43894.17,0.07,0.04,A,F,1992-05-06,1992-05-11,1992-05-23,COLLECT COD              ,TRUCK     ,ly final foxes wake blithely even requests
1765,16057,58,1,36,35029.80,0.08,0.04,N,O,1996-03-02,1996-02-17,1996-03-14,DELIVER IN PERSON        ,SHIP      ,he blithely pending accou
1766,8672,673,1,32,50581.44,0.08,0.01,N,O,1997-01-08,1996-11-11,1997-01-31,TAKE BACK RETURN         ,AIR       ,ess accounts. stealthily ironic accou
1766,3397,651,2,12,15604.68,0.05,0.01,N,O,1996-10-28,1996-12-18,1996-11-15,DELIVER IN PERSON        ,AIR       ,"heodolites above the final, regular acc"
1766,11077,861,3,1,988.07,0.10,0.02,N,O,1997-01-21,1997-01-07,1997-02-19,NONE                     ,TRUCK     ,ly blithely pending accounts. reg
1767,2494,999,1,32,44687.68,0.08,0.04,A,F,1995-05-22,1995-05-14,1995-05-23,COLLECT COD              ,SHIP      ,to the bravely ironic requests i
1767,4144,907,2,1,1048.14,0.09,0.05,N,O,1995-06-23,1995-05-25,1995-07-03,TAKE BACK RETURN         ,RAIL      ,ing to the slyly fin
1767,17398,399,3,24,31569.36,0.06,0.03,R,F,1995-03-16,1995-04-29,1995-04-11,DELIVER IN PERSON        ,RAIL      ,luffy theodolites need to detect furi
1767,2239,492,4,50,57061.50,0.01,0.02,R,F,1995-05-29,1995-04-14,1995-06-15,NONE                     ,REG AIR   ,y unusual foxe
1767,5155,411,5,40,42406.00,0.06,0.00,R,F,1995-04-16,1995-05-06,1995-04-21,TAKE BACK RETURN         ,AIR       ,ep. accounts nag blithely fu
1792,8720,237,1,9,14658.48,0.09,0.04,R,F,1994-02-28,1993-12-11,1994-03-12,TAKE BACK RETURN         ,AIR       ,final packages s
1792,870,621,2,5,8854.35,0.04,0.02,R,F,1994-02-13,1994-01-03,1994-02-28,DELIVER IN PERSON        ,TRUCK     ,"ely regular accounts are slyly. pending, bo"
1792,814,65,3,8,13718.48,0.01,0.04,A,F,1994-02-21,1994-01-26,1994-02-27,DELIVER IN PERSON        ,RAIL      ,nts. fluffily special instructions integr
1792,19014,284,4,45,41985.45,0.00,0.01,A,F,1994-02-27,1993-12-24,1994-03-07,DELIVER IN PERSON        ,MAIL      ,"ests are. ironic, regular asy"
1792,19879,418,5,35,62960.45,0.06,0.05,R,F,1994-01-31,1994-01-20,1994-02-17,NONE                     ,FOB       ,e against the quic
1793,4712,967,1,29,46884.59,0.01,0.06,R,F,1992-10-24,1992-09-20,1992-11-23,NONE                     ,MAIL      ,ar excuses. 
1793,12520,307,2,4,5730.08,0.07,0.05,A,F,1992-07-28,1992-08-26,1992-08-21,COLLECT COD              ,RAIL      ,nic foxes along the even
1793,13006,270,3,6,5514.00,0.01,0.05,R,F,1992-09-21,1992-09-05,1992-10-01,DELIVER IN PERSON        ,REG AIR   ,uctions; depo
1793,11768,552,4,4,6719.04,0.00,0.08,R,F,1992-09-27,1992-09-21,1992-10-07,DELIVER IN PERSON        ,AIR       ,equests nod ac
1793,2453,454,5,42,56928.90,0.03,0.03,A,F,1992-10-13,1992-10-02,1992-11-06,NONE                     ,RAIL      ,"uctions sleep carefully special, fl"
1794,16739,740,1,36,59606.28,0.09,0.08,N,O,1997-11-07,1997-11-01,1997-11-18,TAKE BACK RETURN         ,FOB       ,ely fluffily ironi
1794,9458,977,2,3,4102.35,0.02,0.03,N,O,1997-11-15,1997-12-16,1997-11-20,DELIVER IN PERSON        ,FOB       , sentiments according to the q
1794,11616,617,3,23,35135.03,0.08,0.04,N,O,1997-10-13,1997-11-30,1997-10-28,TAKE BACK RETURN         ,AIR       ,usly unusual theodolites doze about 
1794,8463,980,4,34,46629.64,0.06,0.08,N,O,1997-09-29,1997-11-13,1997-10-07,TAKE BACK RETURN         ,SHIP      ,rs above the accoun
1794,11644,167,5,47,73115.08,0.10,0.06,N,O,1998-01-15,1997-11-30,1998-02-14,DELIVER IN PERSON        ,TRUCK     , haggle slyly. furiously express orbit
1794,9019,279,6,37,34336.37,0.01,0.01,N,O,1998-01-12,1997-12-21,1998-01-17,DELIVER IN PERSON        ,MAIL      ,ackages. pinto
1795,13620,621,1,44,67479.28,0.08,0.08,A,F,1994-04-28,1994-05-24,1994-05-27,NONE                     ,AIR       ,ites sleep carefully slyly p
1795,11316,317,2,34,41728.54,0.08,0.00,A,F,1994-04-24,1994-06-01,1994-05-08,DELIVER IN PERSON        ,SHIP      ,closely regular instructions wake. 
1795,16755,554,3,25,41793.75,0.07,0.01,A,F,1994-05-18,1994-05-22,1994-05-20,TAKE BACK RETURN         ,RAIL      ,he always express accounts ca
1795,12487,274,4,32,44783.36,0.03,0.06,R,F,1994-05-10,1994-04-21,1994-05-17,DELIVER IN PERSON        ,SHIP      ," asymptotes across the bold,"
1795,16231,30,5,11,12619.53,0.08,0.02,R,F,1994-06-19,1994-04-24,1994-07-02,TAKE BACK RETURN         ,TRUCK     ,slyly. special pa
1796,989,990,1,28,52919.44,0.08,0.04,A,F,1992-12-01,1993-01-01,1992-12-24,DELIVER IN PERSON        ,FOB       ,y quickly ironic accounts.
1796,18484,21,2,8,11219.84,0.00,0.08,R,F,1993-01-07,1993-01-04,1993-01-10,NONE                     ,SHIP      ,slyly bold accounts are furiously agains
1797,3064,318,1,17,16440.02,0.01,0.02,N,O,1996-08-06,1996-07-11,1996-08-29,NONE                     ,TRUCK     , cajole carefully. unusual Tiresias e
1797,14422,687,2,16,21382.72,0.01,0.00,N,O,1996-06-03,1996-07-21,1996-06-07,NONE                     ,FOB       ,o beans wake regular accounts. blit
1797,1171,674,3,21,22515.57,0.02,0.01,N,O,1996-08-05,1996-08-05,1996-08-06,DELIVER IN PERSON        ,AIR       ,"ns. regular, regular deposit"
1798,10886,887,1,43,77265.84,0.01,0.08,N,O,1997-08-27,1997-10-23,1997-09-09,DELIVER IN PERSON        ,MAIL      ,ld packages sleep furiously. depend
1799,5116,372,1,8,8168.88,0.04,0.08,R,F,1994-06-14,1994-05-27,1994-06-27,TAKE BACK RETURN         ,MAIL      ,"ealms upon the special, ironic waters"
1799,2632,389,2,42,64454.46,0.02,0.02,R,F,1994-04-05,1994-04-28,1994-04-09,DELIVER IN PERSON        ,FOB       ,es pending 
1824,11967,751,1,45,84553.20,0.03,0.02,R,F,1994-08-21,1994-06-21,1994-09-19,NONE                     ,RAIL      ,ent Tiresias. quickly express 
1824,6820,589,2,40,69072.80,0.10,0.03,A,F,1994-05-08,1994-07-24,1994-06-06,NONE                     ,FOB       ,es mold furiously final instructions. s
1825,15504,35,1,43,61038.50,0.05,0.05,A,F,1994-02-18,1994-02-19,1994-03-02,TAKE BACK RETURN         ,RAIL      , accounts breach fluffily spe
1825,14734,999,2,39,64300.47,0.00,0.00,R,F,1994-04-01,1994-01-12,1994-04-21,DELIVER IN PERSON        ,REG AIR   ,"ual, bold ideas haggle above the quickly ir"
1825,1637,140,3,7,10770.41,0.04,0.03,A,F,1994-01-02,1994-01-30,1994-01-30,TAKE BACK RETURN         ,REG AIR   ,fully ironic requests. requests cajole ex
1825,12023,548,4,23,21505.46,0.05,0.01,R,F,1994-01-08,1994-02-08,1994-01-19,NONE                     ,MAIL      ," wake express, even r"
1825,17784,785,5,33,56158.74,0.04,0.04,A,F,1993-12-07,1994-03-01,1993-12-16,TAKE BACK RETURN         ,RAIL      ,about the ne
1826,2661,418,1,4,6254.64,0.06,0.00,R,F,1992-07-05,1992-06-12,1992-08-04,DELIVER IN PERSON        ,MAIL      ,alongside of the quickly unusual re
1826,6711,480,2,9,14559.39,0.07,0.07,R,F,1992-07-12,1992-07-11,1992-07-15,DELIVER IN PERSON        ,TRUCK     , blithely special
1826,17522,324,3,14,20153.28,0.05,0.01,A,F,1992-04-28,1992-05-31,1992-05-25,COLLECT COD              ,TRUCK     ,uriously bold pinto beans are carefully ag
1826,17983,518,4,6,11405.88,0.05,0.04,R,F,1992-06-30,1992-05-17,1992-07-30,DELIVER IN PERSON        ,RAIL      ,kages. blithely silent
1826,13462,252,5,46,63271.16,0.05,0.06,R,F,1992-05-02,1992-06-25,1992-05-26,TAKE BACK RETURN         ,FOB       ,ously? quickly pe
1826,10736,257,6,43,70809.39,0.02,0.03,A,F,1992-07-28,1992-06-14,1992-08-03,NONE                     ,MAIL      ,ss tithes use even ideas. fluffily final t
1827,8946,721,1,47,87182.18,0.00,0.01,N,O,1996-08-01,1996-08-07,1996-08-23,TAKE BACK RETURN         ,RAIL      ,. pending courts about the even e
1827,15310,841,2,48,58814.88,0.03,0.05,N,O,1996-08-28,1996-09-15,1996-09-01,COLLECT COD              ,RAIL      ,"oxes. special, final asymptote"
1827,19982,983,3,37,70373.26,0.01,0.07,N,O,1996-07-20,1996-08-18,1996-08-08,DELIVER IN PERSON        ,REG AIR   ,ously ironic theodolites serve quickly af
1827,12649,436,4,4,6246.56,0.04,0.04,N,O,1996-07-22,1996-09-10,1996-08-11,DELIVER IN PERSON        ,RAIL      ,special requests. blithely
1827,7953,211,5,24,44662.80,0.00,0.08,N,O,1996-08-07,1996-09-01,1996-09-04,DELIVER IN PERSON        ,SHIP      ,al gifts! re
1827,2047,48,6,7,6643.28,0.10,0.02,N,O,1996-08-28,1996-08-07,1996-08-31,DELIVER IN PERSON        ,AIR       ,egular foxes
1827,594,595,7,38,56794.42,0.05,0.01,N,O,1996-10-17,1996-08-29,1996-11-07,TAKE BACK RETURN         ,SHIP      ," blithely. express, bo"
1828,9956,734,1,33,61576.35,0.05,0.04,R,F,1994-06-27,1994-06-10,1994-07-24,COLLECT COD              ,FOB       ,s boost carefully. pending d
1828,1244,998,2,40,45809.60,0.08,0.07,R,F,1994-05-05,1994-07-02,1994-05-19,COLLECT COD              ,REG AIR   ,s use above the quietly fin
1828,19586,587,3,11,16561.38,0.07,0.08,R,F,1994-07-21,1994-05-28,1994-08-13,DELIVER IN PERSON        ,FOB       , wake blithely 
1828,777,278,4,45,75499.65,0.02,0.05,R,F,1994-05-15,1994-05-29,1994-05-28,COLLECT COD              ,RAIL      , accounts run slyly 
1828,7816,588,5,14,24133.34,0.01,0.08,A,F,1994-05-20,1994-06-02,1994-05-25,TAKE BACK RETURN         ,SHIP      ,. final packages along the carefully bold
1829,14993,258,1,12,22895.88,0.05,0.06,A,F,1994-08-23,1994-07-13,1994-09-04,DELIVER IN PERSON        ,FOB       ,ges wake furiously express pinto
1829,462,463,2,11,14987.06,0.04,0.05,A,F,1994-05-18,1994-06-13,1994-06-07,COLLECT COD              ,MAIL      ,ding orbits
1829,10351,872,3,49,61806.15,0.09,0.08,A,F,1994-08-26,1994-08-01,1994-09-16,NONE                     ,TRUCK     ,ound the quickly 
1829,15300,301,4,14,17014.20,0.03,0.06,A,F,1994-08-15,1994-06-08,1994-08-30,TAKE BACK RETURN         ,AIR       ,regular deposits alongside of the flu
1829,16580,847,5,6,8979.48,0.02,0.07,A,F,1994-08-09,1994-08-05,1994-09-05,DELIVER IN PERSON        ,MAIL      ,s haggle! slyl
1829,11463,247,6,36,49480.56,0.09,0.04,R,F,1994-06-10,1994-06-23,1994-06-22,NONE                     ,FOB       ,ackages-- express requests sleep; pen
1830,11960,222,1,38,71134.48,0.00,0.07,R,F,1995-04-20,1995-05-22,1995-04-24,TAKE BACK RETURN         ,TRUCK     ,ely even a
1830,2449,702,2,9,12162.96,0.05,0.07,R,F,1995-03-09,1995-05-24,1995-03-14,NONE                     ,SHIP      ,st furiously among 
1830,8101,360,3,36,36327.60,0.07,0.07,R,F,1995-04-21,1995-04-14,1995-05-10,DELIVER IN PERSON        ,SHIP      , slowly unusual orbits. carefull
1831,13513,777,1,9,12838.59,0.02,0.03,A,F,1993-12-17,1994-01-27,1993-12-26,NONE                     ,TRUCK     ,mptotes. furiously regular dolphins al
1831,4704,705,2,9,14478.30,0.07,0.06,R,F,1994-03-22,1994-01-07,1994-04-06,COLLECT COD              ,MAIL      ,ent deposits. regular saute
1831,11492,276,3,17,23859.33,0.02,0.08,R,F,1994-01-18,1994-02-12,1994-01-30,TAKE BACK RETURN         ,MAIL      ,s boost ironic foxe
1831,9418,937,4,23,30530.43,0.06,0.02,R,F,1993-12-21,1994-02-08,1994-01-04,NONE                     ,SHIP      ,ests. express pinto beans abou
1856,5498,9,1,10,14034.90,0.05,0.07,R,F,1992-05-11,1992-05-20,1992-06-02,TAKE BACK RETURN         ,FOB       ,he furiously even theodolites. account
1856,9691,210,2,47,75232.43,0.07,0.07,R,F,1992-03-22,1992-06-09,1992-04-17,DELIVER IN PERSON        ,FOB       ,ingly blithe theodolites. slyly pending 
1856,11651,435,3,20,31253.00,0.04,0.06,R,F,1992-05-04,1992-05-06,1992-05-11,DELIVER IN PERSON        ,MAIL      ,ost carefully. slyly bold accounts
1856,14930,931,4,22,40588.46,0.08,0.02,A,F,1992-05-02,1992-05-26,1992-05-20,TAKE BACK RETURN         ,REG AIR   ,platelets detect slyly regular packages. ca
1856,18968,969,5,14,26417.44,0.01,0.01,A,F,1992-04-14,1992-05-02,1992-05-11,COLLECT COD              ,SHIP      ,ans are even requests. deposits caj
1856,2268,25,6,36,42129.36,0.03,0.05,A,F,1992-06-19,1992-05-12,1992-06-28,TAKE BACK RETURN         ,TRUCK     ,ly even foxes kindle blithely even realm
1856,12984,771,7,42,79673.16,0.04,0.00,R,F,1992-05-23,1992-06-06,1992-06-19,COLLECT COD              ,RAIL      ,usly final deposits
1857,17381,382,1,15,19475.70,0.10,0.03,R,F,1993-04-05,1993-02-28,1993-04-13,COLLECT COD              ,RAIL      ,"egular, regular inst"
1857,16635,902,2,40,62065.20,0.10,0.00,R,F,1993-02-15,1993-03-08,1993-02-21,NONE                     ,AIR       ,slyly close d
1857,11899,161,3,8,14487.12,0.01,0.07,R,F,1993-01-27,1993-04-04,1993-02-20,TAKE BACK RETURN         ,AIR       ,slyly about the fluffily silent req
1857,9963,482,4,41,76791.36,0.07,0.07,A,F,1993-04-16,1993-02-16,1993-04-18,NONE                     ,REG AIR   , the slyly
1858,1394,646,1,33,42747.87,0.01,0.02,N,O,1997-12-28,1998-02-03,1998-01-13,NONE                     ,RAIL      ,tect along the slyly final
1859,7497,498,1,18,25280.82,0.10,0.00,N,O,1997-08-08,1997-06-30,1997-08-26,TAKE BACK RETURN         ,SHIP      ,e carefully a
1859,18775,580,2,36,60975.72,0.02,0.01,N,O,1997-05-05,1997-07-08,1997-05-25,TAKE BACK RETURN         ,REG AIR   ,regular requests. carefully unusual theo
1859,15771,567,3,5,8433.85,0.06,0.03,N,O,1997-06-20,1997-05-20,1997-07-19,TAKE BACK RETURN         ,AIR       ,across the p
1859,19088,89,4,21,21148.68,0.00,0.03,N,O,1997-08-06,1997-05-29,1997-08-26,TAKE BACK RETURN         ,REG AIR   ,lar packages wake quickly exp
1859,4534,789,5,11,15823.83,0.06,0.06,N,O,1997-07-15,1997-06-05,1997-07-29,TAKE BACK RETURN         ,SHIP      ,ffily ironic pac
1859,10431,692,6,12,16097.16,0.08,0.03,N,O,1997-05-22,1997-06-08,1997-06-07,COLLECT COD              ,TRUCK     ,"es. unusual, silent request"
1860,11295,296,1,9,10856.61,0.04,0.04,N,O,1996-08-03,1996-05-31,1996-08-04,DELIVER IN PERSON        ,TRUCK     ,c realms print carefully car
1861,6710,223,1,7,11316.97,0.08,0.05,A,F,1994-01-14,1994-04-03,1994-01-16,COLLECT COD              ,RAIL      ,s foxes. slyly
1861,2677,678,2,31,48969.77,0.10,0.05,R,F,1994-01-29,1994-03-07,1994-02-15,TAKE BACK RETURN         ,RAIL      ,arefully unusual
1861,2368,621,3,23,29218.28,0.00,0.08,A,F,1994-04-09,1994-03-04,1994-04-11,DELIVER IN PERSON        ,MAIL      ,in packages sleep silent dolphins; sly
1861,11511,295,4,38,54055.38,0.10,0.05,R,F,1994-02-26,1994-02-05,1994-03-01,NONE                     ,RAIL      ,pending deposits cajole quic
1861,1511,14,5,2,2825.02,0.03,0.08,R,F,1994-04-26,1994-03-15,1994-05-15,TAKE BACK RETURN         ,MAIL      ,"e final, regular requests. carefully "
1862,2963,216,1,41,76504.36,0.10,0.00,N,O,1998-06-05,1998-05-17,1998-07-04,COLLECT COD              ,FOB       , carefully along
1862,16542,543,2,37,53965.98,0.06,0.02,N,O,1998-04-15,1998-05-15,1998-05-14,TAKE BACK RETURN         ,MAIL      ,l deposits. carefully even dep
1862,10399,180,3,26,34044.14,0.02,0.01,N,O,1998-03-25,1998-05-17,1998-04-17,TAKE BACK RETURN         ,TRUCK     ,g carefully: thinly ironic deposits af
1863,6248,505,1,48,55403.52,0.09,0.04,A,F,1993-10-10,1993-12-09,1993-10-19,NONE                     ,FOB       ,ans hinder furiou
1863,15696,227,2,48,77361.12,0.04,0.08,A,F,1993-11-08,1993-11-05,1993-12-08,COLLECT COD              ,AIR       ,onic theodolites alongside of the pending a
1888,9765,25,1,27,45218.52,0.03,0.06,R,F,1994-02-13,1994-01-16,1994-02-25,NONE                     ,REG AIR   ,. carefully special dolphins sle
1888,7341,342,2,38,47436.92,0.03,0.03,R,F,1993-11-29,1994-01-16,1993-12-08,TAKE BACK RETURN         ,TRUCK     ,dazzle carefull
1888,7963,964,3,49,91677.04,0.07,0.05,A,F,1994-02-27,1994-01-14,1994-03-28,DELIVER IN PERSON        ,FOB       ,lar accounts haggle carefu
1888,1854,855,4,9,15802.65,0.01,0.04,A,F,1994-02-09,1994-01-22,1994-02-19,NONE                     ,AIR       , packages are blithely. carefu
1888,15951,952,5,4,7467.80,0.03,0.06,R,F,1993-12-28,1993-12-19,1994-01-11,COLLECT COD              ,FOB       ,lphins. ironically special theodolit
1888,5254,765,6,48,55644.00,0.08,0.08,R,F,1994-02-28,1993-12-16,1994-03-15,COLLECT COD              ,TRUCK     ,ar ideas cajole. regular p
1888,16634,901,7,50,77531.50,0.04,0.07,R,F,1993-12-22,1994-01-10,1994-01-06,DELIVER IN PERSON        ,FOB       ,ependencies affix blithely regular warhors
1889,15118,914,1,41,42357.51,0.10,0.02,N,O,1997-06-15,1997-05-10,1997-07-08,NONE                     ,AIR       ,s! furiously pending r
1889,17161,162,2,13,14016.08,0.05,0.00,N,O,1997-06-12,1997-04-28,1997-06-23,NONE                     ,REG AIR   ,to the regular accounts. carefully express
1889,13716,243,3,36,58669.56,0.05,0.07,N,O,1997-05-19,1997-06-14,1997-05-23,NONE                     ,SHIP      ,l pinto beans kindle 
1889,16766,299,4,5,8413.80,0.02,0.07,N,O,1997-06-26,1997-06-09,1997-07-21,COLLECT COD              ,AIR       ,ording to the blithely silent r
1890,14029,294,1,26,24518.52,0.03,0.07,N,O,1997-04-02,1997-03-13,1997-04-22,DELIVER IN PERSON        ,FOB       ,ngage. slyly ironic 
1890,9941,942,2,43,79590.42,0.07,0.03,N,O,1996-12-30,1997-01-31,1997-01-19,DELIVER IN PERSON        ,FOB       ,"p ironic, express accounts. fu"
1890,5888,654,3,24,43053.12,0.06,0.04,N,O,1997-02-09,1997-02-10,1997-02-12,COLLECT COD              ,MAIL      ,is wake carefully above the even id
1890,6727,728,4,43,70249.96,0.09,0.04,N,O,1997-04-08,1997-02-19,1997-04-30,TAKE BACK RETURN         ,FOB       ,lyly. instructions across the furiously
1890,12118,119,5,45,46354.95,0.08,0.05,N,O,1997-04-15,1997-03-16,1997-04-19,COLLECT COD              ,FOB       ,he carefully regular sauternes. ironic fret
1890,18079,348,6,16,15953.12,0.08,0.02,N,O,1997-02-13,1997-02-18,1997-03-12,TAKE BACK RETURN         ,TRUCK     ,"ged pinto beans. regular, regular id"
1890,12021,808,7,10,9330.20,0.01,0.04,N,O,1996-12-24,1997-02-19,1997-01-01,DELIVER IN PERSON        ,AIR       ,". even, unusual inst"
1891,7610,611,1,45,68292.45,0.07,0.04,A,F,1994-12-20,1995-01-16,1995-01-05,NONE                     ,RAIL      ,ests along
1891,18310,579,2,18,22109.58,0.06,0.00,A,F,1995-01-24,1995-01-29,1995-02-14,NONE                     ,RAIL      , foxes above the carefu
1891,19716,717,3,15,24535.65,0.03,0.00,R,F,1995-03-11,1995-03-05,1995-03-18,TAKE BACK RETURN         ,MAIL      , accounts are furiou
1892,11278,540,1,48,57084.96,0.02,0.01,A,F,1994-06-16,1994-06-16,1994-06-28,NONE                     ,RAIL      ,tornis detect regul
1892,4201,964,2,35,38682.00,0.04,0.08,R,F,1994-04-05,1994-05-09,1994-05-03,NONE                     ,MAIL      ,hes nod furiously around the instruc
1892,13328,855,3,37,45928.84,0.10,0.03,R,F,1994-04-11,1994-06-04,1994-04-24,TAKE BACK RETURN         ,SHIP      ,nts. slyly regular asymptot
1892,19697,967,4,14,22633.66,0.06,0.07,R,F,1994-04-08,1994-06-12,1994-04-27,DELIVER IN PERSON        ,FOB       ,furiously about the furiously
1893,9827,87,1,43,74683.26,0.10,0.00,N,O,1998-01-25,1998-01-06,1998-02-14,COLLECT COD              ,SHIP      ,he carefully regular 
1893,14734,735,2,49,80787.77,0.03,0.05,N,O,1998-01-19,1998-01-28,1998-02-02,TAKE BACK RETURN         ,FOB       ,y final foxes bo
1893,4412,413,3,3,3949.23,0.03,0.02,N,O,1998-02-10,1998-01-18,1998-02-25,DELIVER IN PERSON        ,MAIL      ,"gular, even ideas. fluffily bol"
1893,10061,582,4,18,17479.08,0.07,0.06,N,O,1998-01-24,1998-01-12,1998-02-13,TAKE BACK RETURN         ,RAIL      ,g packages. fluffily final reques
1893,5207,208,5,6,6673.20,0.10,0.02,N,O,1998-01-23,1997-12-22,1998-02-09,DELIVER IN PERSON        ,TRUCK     ,ar accounts use. daringly ironic packag
1894,16830,831,1,40,69873.20,0.03,0.07,R,F,1992-06-07,1992-05-11,1992-07-01,DELIVER IN PERSON        ,FOB       ,ily furiously bold packages. flu
1895,16020,819,1,43,40248.86,0.09,0.07,R,F,1994-07-26,1994-07-19,1994-08-11,NONE                     ,AIR       , carefully eve
1920,9540,541,1,24,34788.96,0.04,0.05,N,O,1998-09-27,1998-08-23,1998-10-15,DELIVER IN PERSON        ,AIR       ,"thely. bold, pend"
1920,5071,582,2,31,30258.17,0.05,0.06,N,O,1998-08-01,1998-08-30,1998-08-17,COLLECT COD              ,SHIP      ,lly. ideas wa
1920,1719,971,3,6,9724.26,0.01,0.05,N,O,1998-10-01,1998-08-20,1998-10-24,COLLECT COD              ,SHIP      ,l ideas boost slyly pl
1920,8335,336,4,50,62166.50,0.09,0.06,N,O,1998-10-03,1998-08-04,1998-10-29,DELIVER IN PERSON        ,MAIL      ,e blithely unusual foxes. brave packages
1920,3379,139,5,14,17953.18,0.08,0.05,N,O,1998-10-22,1998-08-10,1998-10-27,DELIVER IN PERSON        ,AIR       ,ickly ironic d
1921,2065,570,1,9,8703.54,0.08,0.00,R,F,1994-02-01,1994-03-20,1994-03-01,DELIVER IN PERSON        ,FOB       ,to beans. even excuses integrate specia
1921,13969,233,2,21,39542.16,0.02,0.06,R,F,1994-02-08,1994-03-28,1994-02-15,COLLECT COD              ,FOB       ,ckly regula
1921,7083,84,3,27,26732.16,0.00,0.04,A,F,1994-04-26,1994-04-07,1994-04-30,TAKE BACK RETURN         ,FOB       ,ing pinto beans above the pend
1922,978,479,1,13,24426.61,0.05,0.03,N,O,1996-10-24,1996-09-21,1996-11-15,NONE                     ,SHIP      ,quests. furiously
1923,3620,621,1,9,13712.58,0.01,0.08,N,O,1997-08-29,1997-09-13,1997-09-07,NONE                     ,FOB       ,lites. ironic instructions integrate bravel
1923,17733,1,2,23,37966.79,0.07,0.05,N,O,1997-09-08,1997-08-11,1997-09-14,TAKE BACK RETURN         ,MAIL      ,aggle carefully. furiously permanent
1923,17963,964,3,11,20690.56,0.03,0.03,N,O,1997-07-12,1997-09-04,1997-08-01,TAKE BACK RETURN         ,REG AIR   ,ages wake slyly about the furiously regular
1923,19263,533,4,49,57930.74,0.06,0.05,N,O,1997-07-21,1997-08-08,1997-07-26,NONE                     ,AIR       ,de of the carefully expre
1923,18306,843,5,25,30607.50,0.10,0.08,N,O,1997-08-18,1997-08-20,1997-09-12,DELIVER IN PERSON        ,TRUCK     ,the ideas: slyly pendin
