s_suppkey,s_name,s_address,s_nationkey,s_phone,s_acctbal,s_comment
182,Supplier#000000182       ,KuSXGdsAdYdkhzVLmgo4Xs,7,17-825-333-7344,7872.30,gular instructions. blithely regular sentiments around the slyly silent dependencies inte
183,Supplier#000000183       ,"zAAIv68BEXvllrfgsW,i8e",0,10-842-403-7954,-192.51, slyly final dependencies alongside of the fluffily iro
184,Supplier#000000184       ,"VTbbcJp9vdqn,tJA5pG5V,596mud6ZdspXgpUWX ",1,11-802-685-1889,7448.53,special deposits cajole quickly even asymptotes. quickly ironic d
185,Supplier#000000185       ,F4C0AWRPk3,17,27-586-282-7422,5435.91, pinto beans. quickly express packages 
186,Supplier#000000186       ,g huGEW5nrQ0Lmd6,1,11-398-253-5445,4397.48,g along the pending deposits. slyly final foxes sleep fluffily above th
187,Supplier#000000187       ,oMtyTl6hTyLQhiBwrUaa42zKOjfNobEq,18,28-127-320-9230,8517.04,riously along the carefully silent instructions. 
188,Supplier#000000188       ,"boP,dP6PjNCADoMv3FaXKRREikgs4J7cYng",20,30-573-811-4001,1020.57,ual requests cajole. final deposits
189,Supplier#000000189       ,SlPFDFJnn4gtrol,9,19-482-239-6669,1636.09,y regular courts. furiously express deposits haggle slyl
190,Supplier#000000190       ,qpXGL8oM1 wzQd,10,20-995-359-7606,6705.44,"regular deposits haggle across the final, si"
191,Supplier#000000191       ,X dZg6Dtv17X7,18,28-437-699-1621,1445.00,en packages haggle blithely regular requests. silently ironic packages n
192,Supplier#000000192       ,Tub1t4UlJwZ5U,15,25-585-189-5975,7031.84,"ccounts use blithely. unusual, regular ideas use qu"
193,Supplier#000000193       ,"0HvoBt,qEF EaKzYNCl",5,15-872-804-8448,9095.64, packages. regular ideas sleep about the fluffily even deposits! special dolphins nag sly
194,Supplier#000000194       ,MDIkT8cHs7,9,19-741-822-3512,1487.08,nusual platelets cajole according to the
195,Supplier#000000195       ,xWy21YlUy3R6L01,2,12-395-261-9720,-767.31,"e unusual foxes. express, final ideas sleep! carefully regular ideas around the quickly expres"
196,Supplier#000000196       ,TQX4fMwB5tXoz4Fi4CEhALhi6,18,28-430-406-1127,4710.62,ke fluffily regular requests. furiously final
197,Supplier#000000197       ,YC2Acon6kjY3zj3Fbxs2k4Vdf7X0cd2F,3,13-999-250-8664,2398.30,ithely final ideas within the furiously ironic requests cajole
198,Supplier#000000198       ,ncWe9nTBqJETno,6,16-355-298-7120,2187.91,ts are blithely stealthily unusual asymptotes: blithely final excuses wake. ca
199,Supplier#000000199       ,"k,8F8FGDuN 3udblO",22,32-268-147-8879,8151.22,requests. slyly express foxes across the blithe
200,Supplier#000000200       ,"MNqafnV52UKvwuk3jFCn,AJkL",11,21-962-509-4762,1589.13, beans x-ray enticingly express accounts. blithely final deposits run; regular packages are
